City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kuacjok,8.3002,27.9903,74.07,87,100,3.33,SS,1697671616
1,kirakira,-10.4544,161.9205,85.35,69,83,10.04,SB,1697671519
2,sambava,-14.2667,50.1667,72.28,94,23,5.66,MG,1697671616
3,tura,25.5198,90.2201,67.05,90,0,3.02,IN,1697671616
4,pitkyaranta,61.5734,31.4792,35.51,80,96,6.35,RU,1697671616
5,ust-nera,64.5667,143.2,2.21,91,100,4.0,RU,1697671616
6,happy valley-goose bay,53.3168,-60.3315,39.51,75,20,4.61,CA,1697671531
7,nemuro,43.3236,145.575,59.31,84,100,22.06,JP,1697671616
8,igarka,67.4667,86.5833,38.8,98,100,15.46,RU,1697671616
9,qamdo,31.1667,97.2333,22.95,80,39,5.64,CN,1697671617
10,yellowknife,62.456,-114.3525,44.42,100,100,8.05,CA,1697671617
11,port elizabeth,-33.918,25.5701,63.32,95,0,6.91,ZA,1697671617
12,waitangi,-43.9535,-176.5597,55.81,79,98,10.0,NZ,1697671617
13,bathsheba,13.2167,-59.5167,84.81,79,40,12.66,BB,1697671617
14,ushuaia,-54.8,-68.3,56.86,46,0,15.01,AR,1697671617
15,adamstown,-25.066,-130.1015,73.0,78,57,7.47,PN,1697671617
16,nyurba,63.2842,118.3319,8.11,96,67,5.99,RU,1697671617
17,edinburgh of the seven seas,-37.0676,-12.3116,55.51,93,100,27.58,SH,1697671521
18,zouerate,22.7187,-12.4521,87.4,21,3,8.75,MR,1697671618
19,puerto natales,-51.7236,-72.4875,48.09,88,93,4.09,CL,1697671398
20,grytviken,-54.2811,-36.5092,37.33,80,100,9.46,GS,1697671618
21,papatowai,-46.5619,169.4708,58.53,55,100,11.27,NZ,1697671618
22,albany,42.6001,-73.9662,54.18,84,96,2.17,US,1697671416
23,tsiombe,-25.3,45.4833,70.52,93,100,3.91,MG,1697671618
24,tionk essil,12.7856,-16.5217,84.16,81,91,4.99,SN,1697671618
25,ceeldheer,3.8488,47.1806,80.4,79,42,8.05,SO,1697671618
26,iqaluit,63.7506,-68.5145,29.93,92,100,11.5,CA,1697671618
27,aquin,18.2833,-73.4,82.27,76,35,2.91,HT,1697671619
28,melekeok village,7.4957,134.6367,84.76,84,75,3.44,PW,1697671619
29,qarauyl,48.9451,79.255,45.63,58,1,8.95,KZ,1697671619
30,susuman,62.7833,148.1667,7.99,76,100,1.01,RU,1697671619
31,east london,-33.0153,27.9116,66.22,82,97,13.0,ZA,1697671619
32,alofi,-19.0595,-169.9187,80.49,47,40,18.41,NU,1697671619
33,puerto ayora,-0.7393,-90.3518,75.54,96,87,8.01,EC,1697671619
34,queenstown,-31.8976,26.8753,55.45,86,77,3.27,ZA,1697671619
35,blackmans bay,-43.0167,147.3167,63.52,67,94,1.01,AU,1697671619
36,lompoc,34.6391,-120.4579,95.14,70,20,5.75,US,1697671620
37,egilsstadir,65.2653,-14.3948,46.31,71,75,10.36,IS,1697671620
38,flying fish cove,-10.4217,105.6791,78.48,88,75,10.36,CX,1697671620
39,newman,37.3138,-121.0208,91.24,34,0,1.99,US,1697671564
40,punta arenas,-53.15,-70.9167,55.51,54,0,16.11,CL,1697671329
41,kingston,17.997,-76.7936,86.95,81,20,9.22,JM,1697671365
42,kerikeri,-35.2268,173.9474,60.67,93,100,8.72,NZ,1697671620
43,hithadhoo,-0.6,73.0833,79.77,81,61,7.31,MV,1697671620
44,silver city,32.7701,-108.2803,80.67,17,0,5.99,US,1697671620
45,mount pearl,47.5166,-52.7813,46.33,86,100,9.22,CA,1697671620
46,miles city,46.4083,-105.8406,63.57,34,0,6.91,US,1697671621
47,bilibino,68.0546,166.4372,-0.04,98,99,1.57,RU,1697671621
48,invercargill,-46.4,168.35,58.01,69,99,18.01,NZ,1697671621
49,college,64.8569,-147.8028,28.35,73,100,10.36,US,1697671621
50,hammerfest,70.6634,23.6821,32.45,64,100,8.05,NO,1697671621
51,funadhoo,6.15,73.2667,80.51,77,93,8.34,MV,1697671621
52,jamestown,42.097,-79.2353,53.19,69,100,4.61,US,1697671578
53,singrauli,24.1997,82.6753,67.66,80,0,2.37,IN,1697671622
54,talnakh,69.4865,88.3972,40.21,98,100,12.77,RU,1697671622
55,arraial do cabo,-22.9661,-42.0278,71.73,87,67,15.5,BR,1697671557
56,amlapura,-8.45,115.6167,77.56,83,82,2.59,ID,1697671622
57,whangarei,-35.7317,174.3239,64.0,82,85,8.48,NZ,1697671622
58,greymouth,-42.4667,171.2,54.54,64,82,5.1,NZ,1697671622
59,stanley,54.868,-1.6985,52.29,88,75,17.27,GB,1697671622
60,ilulissat,69.2167,-51.1,15.82,73,100,5.75,GL,1697671622
61,zykovo,55.9519,93.1461,41.61,83,9,7.0,RU,1697671622
62,malango,-2.9627,119.9001,70.03,90,70,1.01,ID,1697671623
63,sao joao dos inhamuns,-6.0,-40.2833,88.41,26,6,6.15,BR,1697671365
64,saint-vincent-de-tyrosse,43.6603,-1.308,72.93,94,95,3.44,FR,1697671623
65,bredasdorp,-34.5322,20.0403,60.17,94,51,11.21,ZA,1697671623
66,gadzhiyevo,69.2551,33.3362,35.02,60,100,22.37,RU,1697671623
67,west valley,46.5921,-120.6051,71.78,39,0,4.61,US,1697671623
68,kodiak,57.79,-152.4072,51.31,35,0,37.98,US,1697671327
69,coari,-4.085,-63.1414,82.96,61,61,1.12,BR,1697671623
70,fisterra,42.9049,-9.2629,67.01,85,3,25.43,ES,1697671623
71,lebu,-37.6167,-73.65,53.76,79,6,8.05,CL,1697671624
72,cumberland,35.0502,-78.8664,63.48,70,0,3.44,US,1697671624
73,preobrazheniye,42.9019,133.9064,49.44,83,98,8.01,RU,1697671624
74,dogondoutchi,13.6393,4.0287,90.16,18,60,6.62,NE,1697671624
75,port-aux-francais,-49.35,70.2167,36.7,84,100,21.45,TF,1697671624
76,port saint john's,-31.6229,29.5448,65.52,80,16,6.08,ZA,1697671624
77,souillac,-20.5167,57.5167,77.38,88,75,5.75,MU,1697671624
78,dudinka,69.4058,86.1778,40.62,99,100,17.0,RU,1697671443
79,bethel,41.3712,-73.414,58.55,81,100,5.75,US,1697671624
80,aykhal,66.0,111.5,6.06,97,84,3.0,RU,1697671624
81,el bauga,18.262,33.9081,87.48,19,60,14.65,SD,1697671625
82,kruisfontein,-34.0033,24.7314,58.57,93,49,0.83,ZA,1697671625
83,mooloolaba,-26.6833,153.1167,72.05,63,99,8.01,AU,1697671625
84,sainte-agathe-des-monts,46.0501,-74.2825,48.49,81,89,3.74,CA,1697671625
85,zaranj,30.9667,61.8833,72.18,26,0,8.66,AF,1697671625
86,pasir mas,6.0493,102.1399,77.09,94,88,2.84,MY,1697671625
87,san rafael,-34.6177,-68.3301,52.41,80,92,9.06,AR,1697671625
88,zaozersk,69.4005,32.4476,31.37,72,100,8.12,RU,1697671625
89,kidal,18.4411,1.4078,87.6,14,5,7.25,ML,1697671626
90,mitu,1.1983,-70.1733,76.77,85,90,1.59,CO,1697671380
91,komotini,41.1228,25.3964,50.05,89,38,1.81,GR,1697671626
92,san julian,21.0167,-102.1667,71.06,22,100,6.11,MX,1697671626
93,hamilton,39.1834,-84.5333,61.41,67,0,6.91,US,1697671388
94,west island,-12.1568,96.8225,76.98,83,40,10.36,CC,1697671626
95,margaret river,-33.95,115.0667,51.94,85,58,7.63,AU,1697671626
96,crixas,-14.5489,-49.9692,86.77,16,31,2.42,BR,1697671626
97,kimbe,-5.5502,150.1429,86.34,66,37,0.54,PG,1697671626
98,seven pagodas,12.6264,80.1722,82.06,82,100,6.85,IN,1697671627
99,salinopolis,-0.6136,-47.3561,80.65,81,24,14.38,BR,1697671627
100,anadyr,64.75,177.4833,18.1,78,0,13.42,RU,1697671627
101,boende,-0.2167,20.8667,71.87,99,100,2.86,CD,1697671627
102,praia da vitoria,38.7333,-27.0667,67.75,94,75,17.9,PT,1697671457
103,newberry,34.2746,-81.6187,61.47,83,10,4.56,US,1697671627
104,luderitz,-26.6481,15.1594,60.53,85,26,3.89,NA,1697671627
105,port douglas,-16.4833,145.4667,75.78,73,94,13.82,AU,1697671440
106,olonkinbyen,70.9221,-8.7187,38.46,88,100,23.67,SJ,1697671627
107,hawaiian paradise park,19.5933,-154.9731,84.04,71,0,10.36,US,1697671628
108,galesong,-5.3166,119.3661,82.42,67,98,3.91,ID,1697671628
109,pisco,-13.7,-76.2167,68.05,83,0,18.41,PE,1697671628
110,port-vila,-17.7338,168.3219,74.8,94,100,5.75,VU,1697671628
111,port alfred,-33.5906,26.891,62.19,96,82,6.64,ZA,1697671628
112,komsomol'skiy,43.9783,46.6985,55.96,60,100,12.62,RU,1697671628
113,altai,46.3722,96.2583,31.03,59,0,0.78,MN,1697671628
114,tazovsky,67.4667,78.7,39.54,94,100,12.73,RU,1697671628
115,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,88,0,8.95,RU,1697671628
116,afaahiti,-17.75,-149.2833,78.67,82,91,17.27,PF,1697671629
117,mount gambier,-37.8333,140.7667,66.29,37,32,7.96,AU,1697671405
118,mbandaka,0.0487,18.2603,72.55,97,100,2.24,CD,1697671629
119,tongchuanshi,35.0806,109.0897,50.43,84,100,3.38,CN,1697671629
120,kununurra,-15.7667,128.7333,76.98,50,0,2.3,AU,1697671568
121,isafjordur,66.0755,-23.124,43.29,78,100,8.34,IS,1697671629
122,fuling,29.7022,107.3919,66.52,95,96,5.86,CN,1697671629
123,safaga,26.7292,33.9365,78.39,43,0,12.44,EG,1697671629
124,las palmas,28.4204,-14.0131,72.39,69,0,5.75,ES,1697671629
125,jayapura,-2.5333,140.7,83.59,72,69,2.15,ID,1697671630
126,shalqar,47.8333,59.6,45.36,47,100,5.41,KZ,1697671630
127,vadso,70.0744,29.7487,31.08,74,0,9.22,NO,1697671630
128,wailua homesteads,22.0669,-159.378,83.19,63,20,9.22,US,1697671630
129,sisimiut,66.9395,-53.6735,23.2,80,100,14.79,GL,1697671630
130,holualoa,19.6228,-155.9522,81.77,81,40,11.5,US,1697671630
131,harrisonville,38.6533,-94.3488,62.98,60,0,4.61,US,1697671630
132,utrik,11.2278,169.8474,82.98,76,36,17.98,MH,1697671630
133,rongelap,11.1635,166.8941,81.3,78,100,12.41,MH,1697671630
134,tiksi,71.6872,128.8694,17.92,97,100,5.57,RU,1697671631
135,udachny,66.4167,112.4,12.45,92,81,4.14,RU,1697671631
136,harper,4.375,-7.7169,77.58,89,44,4.85,LR,1697671631
137,la palma,33.8464,-118.0467,98.11,69,0,11.5,US,1697671631
138,valognes,49.5088,-1.4705,60.19,94,100,19.57,FR,1697671631
139,santa cruz,-17.8,-63.1667,89.65,48,55,9.22,BO,1697671474
140,mashhad,36.297,59.6062,51.94,82,0,0.0,IR,1697671631
141,hassan,13.0006,76.0994,66.78,84,80,2.84,IN,1697671631
142,fangshan,39.6983,115.9925,60.28,23,100,6.6,CN,1697671631
143,tolanaro,-25.0319,46.9987,75.27,88,75,4.61,MG,1697671631
144,kristiansund,63.1115,7.732,39.85,70,0,13.8,NO,1697671632
145,centralia,46.7162,-122.9543,74.77,59,0,0.0,US,1697671427
146,cayey,18.1119,-66.166,81.3,86,7,1.99,PR,1697671632
147,yalutorovsk,56.6536,66.3006,38.97,68,27,13.0,RU,1697671632
148,whitehorse,60.7161,-135.0538,47.17,88,100,12.66,CA,1697671632
149,san antonio de pale,-1.4014,5.6325,78.64,83,100,7.54,GQ,1697671632
150,ribeira grande,38.5167,-28.7,67.77,81,69,7.0,PT,1697671632
151,prigen,-7.6833,112.6167,67.53,72,67,2.13,ID,1697671632
152,naters,46.3254,7.9891,58.44,95,100,6.55,CH,1697671632
153,tegucigalpa,14.0818,-87.2068,72.36,78,75,17.27,HN,1697671632
154,at taj,24.2049,23.2857,68.29,27,3,7.96,LY,1697671633
155,machico,32.7,-16.7667,75.0,73,20,5.75,PT,1697671633
156,lerwick,60.1545,-1.1494,50.0,84,76,28.92,GB,1697671633
157,bafq,31.6128,55.4107,66.87,32,1,1.66,IR,1697671633
158,tonghae,37.5439,129.1069,61.54,68,100,7.54,KR,1697671633
159,conde,-7.2597,-34.9075,76.46,78,20,8.05,BR,1697671633
160,pahrump,36.2083,-115.9839,94.24,12,0,1.99,US,1697671633
161,jwaneng,-24.6004,24.7303,66.18,35,0,6.15,BW,1697671633
162,moeiwadi,16.3894,104.1572,71.91,87,89,1.05,TH,1697671576
163,kifri,34.6959,44.9661,73.4,35,6,5.86,IQ,1697671634
164,minas de marcona,-15.2119,-75.1103,60.6,84,57,12.91,PE,1697671634
165,toliara,-23.35,43.6667,72.39,87,73,3.98,MG,1697671634
166,atafu village,-8.5421,-172.5159,83.5,72,32,8.43,TK,1697671634
167,chui,-33.6971,-53.4616,52.16,88,23,5.23,UY,1697671634
168,laojunmiao,39.8333,97.7333,36.36,30,0,6.58,CN,1697671634
169,fort st. john,56.2499,-120.8529,60.69,44,40,23.02,CA,1697671634
170,praya,14.9215,-23.5087,81.14,78,20,10.36,CV,1697671634
171,chipinge,-20.1883,32.6236,57.42,89,16,2.95,ZW,1697671634
172,new norfolk,-42.7826,147.0587,64.71,41,98,2.59,AU,1697671550
173,tofol,5.3248,163.0078,85.78,74,75,3.44,FM,1697671635
174,rio preto da eva,-2.6994,-59.6997,81.79,66,57,2.77,BR,1697671635
175,puerto lempira,15.2667,-83.7667,77.14,88,100,2.3,HN,1697671635
176,cole harbour,44.6724,-63.4751,53.71,87,97,8.05,CA,1697671635
177,avarua,-21.2078,-159.775,77.05,53,8,9.22,CK,1697671635
178,sidney,-33.8679,151.2073,68.72,66,75,8.05,AU,1697671630
179,palu,-0.8917,119.8707,78.21,90,96,2.37,ID,1697671363
180,el tigre,8.8875,-64.2454,85.3,53,77,3.44,VE,1697671635
181,swakopmund,-22.6833,14.5333,58.98,84,18,5.01,NA,1697671635
182,tromso,69.6496,18.957,32.02,86,100,10.36,NO,1697671636
183,primero de mayo,-32.2552,-58.4228,64.81,43,75,11.48,AR,1697671636
184,ambovombe,-25.1667,46.0833,71.4,90,94,6.38,MG,1697671636
185,leh,34.1667,77.5833,31.59,63,44,3.0,IN,1697671636
186,saipan,15.1355,145.701,86.7,74,40,16.11,MP,1697671607
187,keflavik,64.0049,-22.5624,50.43,81,100,41.43,IS,1697671636
188,puerto baquerizo moreno,-0.9,-89.6,75.2,86,99,11.34,EC,1697671636
189,gobabis,-22.45,18.9667,67.1,22,0,11.14,NA,1697671636
190,mil'kovo,55.6078,37.7956,41.41,96,100,7.74,RU,1697671637
191,thunder bay,48.4001,-89.3168,53.58,87,100,9.22,CA,1697671620
192,port mathurin,-19.6833,63.4167,74.21,82,44,10.89,MU,1697671637
193,alenquer,-1.9417,-54.7383,83.37,60,44,3.98,BR,1697671637
194,howrah,22.5892,88.3103,77.0,88,20,3.44,IN,1697671637
195,palmas,-10.2128,-48.3603,84.07,61,0,3.44,BR,1697671637
196,at taraf,25.3628,49.725,79.34,76,0,3.13,SA,1697671637
197,weno,7.4515,151.8468,85.95,74,40,4.61,FM,1697671637
198,banda aceh,5.5577,95.3222,78.12,86,100,6.53,ID,1697671637
199,prince rupert,54.3161,-130.3201,55.49,82,100,34.52,CA,1697671638
200,bubaque,11.2833,-15.8333,82.29,78,100,9.4,GW,1697671638
201,ancud,-41.8697,-73.8203,48.81,89,42,9.4,CL,1697671638
202,sona,45.4388,10.8255,52.32,99,75,3.44,IT,1697671638
203,zambezi,-13.5432,23.1047,73.51,49,45,2.71,ZM,1697671638
204,beinamar,8.6698,15.3813,76.87,65,100,4.68,TD,1697671575
205,tippi,7.2,35.45,63.63,97,96,3.24,ET,1697671638
206,touros,-5.1989,-35.4608,77.7,75,5,13.18,BR,1697671638
207,sumberpucung,-8.1586,112.4829,72.77,87,97,2.53,ID,1697671638
208,hadibu,12.65,54.0333,81.28,78,14,5.86,YE,1697671639
209,dakhla,23.6848,-15.958,71.08,90,1,14.09,EH,1697671639
210,cabo san lucas,22.8909,-109.9124,90.61,70,75,4.61,MX,1697671403
211,mokhsogollokh,61.4681,128.9203,23.23,87,100,9.46,RU,1697671639
212,nova sintra,14.8667,-24.7167,76.57,70,0,8.72,CV,1697671639
213,aswan,24.0934,32.907,72.7,33,0,4.61,EG,1697671639
214,mount isa,-20.7333,139.5,85.77,10,3,5.75,AU,1697671639
215,tiquipaya,-17.3382,-66.2189,68.72,35,40,9.22,BO,1697671639
216,hermanus,-34.4187,19.2345,61.59,87,39,16.15,ZA,1697671639
217,georgetown,5.4112,100.3354,78.73,98,20,2.3,MY,1697671592
218,broken hill,-31.95,141.4333,74.37,23,0,4.34,AU,1697671640
219,lazaro cardenas,17.9583,-102.2,74.62,94,100,7.09,MX,1697671640
220,itoman,26.1247,127.6694,77.77,69,20,5.75,JP,1697671640
221,bezhetsk,57.7851,36.6965,37.09,72,100,4.23,RU,1697671640
222,fale old settlement,-9.3852,-171.2468,83.23,71,75,6.67,TK,1697671640
223,ad dabbah,18.05,30.95,79.97,19,19,13.49,SD,1697671519
224,scarborough,54.2797,-0.4044,53.17,90,100,14.0,GB,1697671468
225,dhidhdhoo,6.8833,73.1,80.37,80,100,8.3,MV,1697671640
226,tachov,49.7953,12.6337,45.64,86,96,3.74,CZ,1697671640
227,suoyarvi,62.0833,32.35,29.61,94,100,6.17,RU,1697671641
228,recani,31.2846,-4.2688,79.56,21,39,14.16,MA,1697671641
229,baiyin,36.5583,104.2081,40.64,71,96,3.42,CN,1697671641
230,marica,-22.9194,-42.8186,75.15,88,95,10.04,BR,1697671641
231,pangody,65.85,74.4859,41.72,93,100,10.89,RU,1697671641
232,brookings,44.3114,-96.7984,53.19,82,100,5.01,US,1697671641
233,langres,47.8333,5.3333,55.18,96,100,13.71,FR,1697671641
234,katsuura,35.1333,140.3,71.31,64,46,14.79,JP,1697671641
235,barcelos,41.5388,-8.6151,66.34,87,96,14.38,PT,1697671641
236,enewetak,11.3474,162.3373,83.46,77,24,16.08,MH,1697671642
237,sitka,57.0531,-135.33,55.29,88,100,6.91,US,1697671642
238,cockburn town,21.4612,-71.1419,84.36,75,27,13.82,TC,1697671642
239,uturoa,-16.7333,-151.4333,79.41,77,34,12.17,PF,1697671642
240,chai buri,8.4622,99.0763,74.95,95,93,0.69,TH,1697671642
241,qaqortoq,60.7167,-46.0333,29.14,59,23,3.49,GL,1697671642
242,coquimbo,-29.9533,-71.3436,60.53,67,0,10.36,CL,1697671642
243,filey,54.21,-0.2892,54.79,90,100,11.01,GB,1697671642
244,tazacorte,28.629,-17.9293,72.57,80,0,5.75,ES,1697671642
245,kouvola,60.8667,26.7,32.59,78,100,8.05,FI,1697671642
246,esposende,41.5361,-8.782,66.78,85,89,18.16,PT,1697671643
247,villa gesell,-37.2639,-56.973,51.87,62,66,11.74,AR,1697671643
248,longyearbyen,78.2186,15.6401,37.24,75,40,27.63,SJ,1697671643
249,fortuna,40.5982,-124.1573,56.32,100,100,10.36,US,1697671643
250,hampton bays,40.869,-72.5176,58.91,88,100,0.0,US,1697671643
251,shevchenko,48.5,35.0,46.62,55,23,10.22,UA,1697671643
252,callao,-12.0667,-77.15,74.71,77,75,12.66,PE,1697671643
253,tinajo,29.0788,-13.7081,74.28,69,20,8.05,ES,1697671643
254,kailua-kona,19.6406,-155.9956,85.5,80,40,11.5,US,1697671583
255,korla,41.7597,86.1469,46.71,35,0,3.4,CN,1697671644
256,buraydah,26.326,43.975,77.45,15,42,11.7,SA,1697671644
257,aasiaat,68.7098,-52.8699,3.56,90,67,4.88,GL,1697671644
258,thompson,55.7435,-97.8558,41.16,70,40,2.3,CA,1697671644
259,ad dilam,23.9915,47.1627,77.41,21,0,7.9,SA,1697671644
260,amungan,15.3652,119.9582,80.24,77,40,4.16,PH,1697671644
261,vorkuta,67.5,64.0,32.72,82,52,14.61,RU,1697671644
262,iskateley,67.6803,53.1512,34.02,89,100,8.99,RU,1697671644
263,constantia,44.1833,28.65,45.7,73,2,9.51,RO,1697671632
264,kasempa,-13.4584,25.8338,72.09,53,84,2.42,ZM,1697671645
265,harnai,30.1005,67.9374,65.82,50,0,3.29,PK,1697671456
266,alice springs,-23.7,133.8833,78.35,10,0,1.14,AU,1697671551
267,palora,-1.7,-77.9333,77.11,94,83,1.5,EC,1697671645
268,yelizovo,53.1873,158.3805,48.34,66,0,8.99,RU,1697671645
269,vila velha,-20.3297,-40.2925,75.15,83,100,11.5,BR,1697671388
270,kayangel,8.0823,134.7173,83.08,72,12,3.78,PW,1697671645
271,ola,59.5833,151.2833,28.42,38,6,5.66,RU,1697671645
272,badger,64.8,-147.5333,28.27,78,100,10.36,US,1697671645
273,darwin,-12.4611,130.8418,87.89,74,20,3.44,AU,1697671646
274,al bawiti,28.3492,28.8659,69.03,56,0,6.46,EG,1697671646
275,langarud,37.197,50.1535,64.92,87,70,3.31,IR,1697671646
276,labrador city,52.9463,-66.9114,40.91,65,0,8.05,CA,1697671646
277,la solana,38.9442,-3.2381,59.0,79,86,21.97,ES,1697671646
278,guatire,10.4762,-66.5427,74.19,97,91,1.43,VE,1697671646
279,shanhecun,44.7,127.2,40.73,63,32,10.13,CN,1697671646
280,maragogi,-9.0122,-35.2225,75.78,75,81,10.13,BR,1697671646
281,kasongo-lunda,-6.4667,16.8167,71.33,96,68,1.54,CD,1697671646
282,sao jose da coroa grande,-8.8978,-35.1478,75.72,76,71,10.25,BR,1697671647
